Дата;Значение
03.03.2022;42 013,19
03.03.2022;42 013,19
02.03.2022;43 768,44
01.03.2022;43 940,54
28.02.2022;41 742,97
27.02.2022;37 977,11
26.02.2022;39 364,51
25.02.2022;38 914,51
24.02.2022;38 209,00
23.02.2022;37 655,01
22.02.2022;37 880,40
21.02.2022;38 327,56
20.02.2022;38 362,96
19.02.2022;40 076,94
18.02.2022;40 114,91
17.02.2022;41 084,34
16.02.2022;44 182,90
15.02.2022;44 102,79
14.02.2022;42 247,24
13.02.2022;42 323,69
12.02.2022;42 679,30
11.02.2022;42 560,46
10.02.2022;43 927,43
09.02.2022;44 717,80
08.02.2022;44 039,37
07.02.2022;44 058,88
06.02.2022;41 634,37
05.02.2022;41 588,22
04.02.2022;40 522,31
03.02.2022;36 429,87
02.02.2022;37 526,39
01.02.2022;38 685,40
31.01.2022;38 480,81
30.01.2022;37 638,37
29.01.2022;38 272,76
28.01.2022;37 577,73
27.01.2022;35 963,24
26.01.2022;37 083,25
25.01.2022;37 007,91
24.01.2022;36 505,45
23.01.2022;35 236,40
22.01.2022;35 024,66
21.01.2022;38 181,39
20.01.2022;42 673,70
19.01.2022;41 728,11
18.01.2022;41 596,60
17.01.2022;42 199,22
16.01.2022;43 092,84
15.01.2022;43 600,30
14.01.2022;43 077,54
13.01.2022;42 597,65
12.01.2022;43 756,44
11.01.2022;42 837,59
10.01.2022;41 531,03
09.01.2022;42 497,65
08.01.2022;40 998,92
07.01.2022;41 842,67
06.01.2022;43 251,14
05.01.2022;44 253,15
04.01.2022;46 358,68
03.01.2022;45 886,26
02.01.2022;47 020,64
01.01.2022;47 444,09
31.12.2021;46 008,54
30.12.2021;47 277,52
29.12.2021;47 585,02
28.12.2021;47 980,25
27.12.2021;51 048,90
26.12.2021;50 357,00
25.12.2021;50 987,13
24.12.2021;51 204,75
23.12.2021;51 022,59
22.12.2021;49 064,75
21.12.2021;48 476,00
20.12.2021;46 978,55
19.12.2021;46 859,51
18.12.2021;46 774,50
17.12.2021;46 297,78
16.12.2021;48 158,82
15.12.2021;49 198,89
14.12.2021;47 375,01
13.12.2021;46 610,07
12.12.2021;50 333,54
11.12.2021;48 670,64
10.12.2021;48 308,85
09.12.2021;47 511,13
08.12.2021;50 731,80
07.12.2021;50 382,02
06.12.2021;49 196,00
05.12.2021;48 962,21
04.12.2021;49 193,56
03.12.2021;53 177,92
02.12.2021;57 011,76
01.12.2021;57 028,94
30.11.2021;57 504,25
29.11.2021;58 141,22
28.11.2021;54 906,32
27.11.2021;54 489,38
26.11.2021;54 455,44
25.11.2021;58 997,74
